name	volume	thickness	area	meancurv
Left-bankssts	2932.0	2.439	1214.0	0.094
Left-caudalanteriorcingulate	2211.0	3.19	672.0	0.132
Left-caudalmiddlefrontal	6852.0	2.513	2585.0	0.11800000000000001
Left-cuneus	4848.0	2.285	2016.0	0.145
Left-entorhinal	2811.0	3.696	551.0	0.11699999999999999
Left-fusiform	10812.0	2.696	3626.0	0.125
Left-inferiorparietal	18556.0	2.5639999999999996	6550.0	0.115
Left-inferiortemporal	14049.0	2.782	4235.0	0.126
Left-isthmuscingulate	3098.0	2.4530000000000003	1100.0	0.128
Left-lateraloccipital	20430.0	2.4290000000000003	7733.0	0.13
Left-lateralorbitofrontal	9865.0	2.793	3189.0	0.129
Left-lingual	9700.0	2.282	3969.0	0.13699999999999998
Left-medialorbitofrontal	6798.0	2.575	2375.0	0.11199999999999999
Left-middletemporal	14761.0	2.8560000000000003	4223.0	0.124
Left-parahippocampal	2157.0	2.861	646.0	0.09
Left-paracentral	3748.0	2.425	1381.0	0.105
Left-parsopercularis	5939.0	2.608	2064.0	0.11599999999999999
Left-parsorbitalis	3722.0	2.85	968.0	0.14300000000000002
Left-parstriangularis	4283.0	2.5789999999999997	1478.0	0.126
Left-pericalcarine	2712.0	1.8330000000000002	1670.0	0.128
Left-postcentral	12360.0	2.251	5028.0	0.121
Left-posteriorcingulate	3202.0	2.625	1131.0	0.146
Left-precentral	16566.0	2.6319999999999997	5849.0	0.11
Left-precuneus	11116.0	2.66	4009.0	0.122
Left-rostralanteriorcingulate	4053.0	3.195	1115.0	0.14
Left-rostralmiddlefrontal	16674.0	2.332	6295.0	0.141
Left-superiorfrontal	26869.0	2.8280000000000003	8533.0	0.127
Left-superiorparietal	15708.0	2.445	5666.0	0.12
Left-superiortemporal	15693.0	2.904	4861.0	0.111
Left-supramarginal	11594.0	2.668	3939.0	0.125
Left-frontalpole	1503.0	3.26	296.0	0.149
Left-temporalpole	3001.0	3.8160000000000003	573.0	0.128
Left-transversetemporal	1537.0	2.6710000000000003	533.0	0.09
Left-insula	8298.0	3.275	2534.0	0.11699999999999999
BrainSegVolNotVent	1342404.0	1342404.0	102599.0	1342404.0
eTIV	1767804.677934	1767804.677934	1342404.0	1767804.677934
