name	volume	thickness	area	meancurv
Left-G&S_frontomargin	2251.0	2.173	993.0	0.121
Left-G&S_occipital_inf	4098.0	2.419	1456.0	0.136
Left-G&S_paracentral	3164.0	2.508	1011.0	0.09
Left-G&S_subcentral	3510.0	2.655	1157.0	0.131
Left-G&S_transv_frontopol	1993.0	2.662	558.0	0.161
Left-G&S_cingul-Ant	4662.0	2.698	1638.0	0.12300000000000001
Left-G&S_cingul-Mid-Ant	2139.0	2.496	891.0	0.109
Left-G&S_cingul-Mid-Post	2228.0	2.439	888.0	0.115
Left-G_cingul-Post-dorsal	1769.0	2.802	556.0	0.13
Left-G_cingul-Post-ventral	1077.0	2.764	305.0	0.151
Left-G_cuneus	3429.0	2.093	1393.0	0.132
Left-G_front_inf-Opercular	3686.0	3.1060000000000003	892.0	0.138
Left-G_front_inf-Orbital	1018.0	2.84	249.0	0.15
Left-G_front_inf-Triangul	3350.0	2.8339999999999996	878.0	0.149
Left-G_front_middle	10656.0	2.6210000000000004	3128.0	0.138
Left-G_front_sup	18713.0	2.8369999999999997	5312.0	0.131
Left-G_Ins_lg&S_cent_ins	1824.0	3.6069999999999998	497.0	0.11599999999999999
Left-G_insular_short	2478.0	3.715	483.0	0.125
Left-G_occipital_middle	5005.0	2.5780000000000003	1512.0	0.131
Left-G_occipital_sup	2590.0	2.124	1046.0	0.132
Left-G_oc-temp_lat-fusifor	4377.0	2.89	1211.0	0.14400000000000002
Left-G_oc-temp_med-Lingual	5928.0	2.15	2371.0	0.16
Left-G_oc-temp_med-Parahip	5672.0	3.177	1317.0	0.125
Left-G_orbital	6741.0	2.695	1763.0	0.14800000000000002
Left-G_pariet_inf-Angular	5690.0	2.8480000000000003	1464.0	0.127
Left-G_pariet_inf-Supramar	7057.0	2.763	2091.0	0.131
Left-G_parietal_sup	5802.0	2.467	1927.0	0.11699999999999999
Left-G_postcentral	4058.0	2.197	1467.0	0.106
Left-G_precentral	7453.0	3.0389999999999997	1874.0	0.10099999999999999
Left-G_precuneus	6480.0	2.628	1852.0	0.136
Left-G_rectus	2456.0	2.6460000000000004	719.0	0.14800000000000002
Left-G_subcallosal	969.0	2.4090000000000003	366.0	0.10300000000000001
Left-G_temp_sup-G_T_transv	897.0	2.475	290.0	0.11900000000000001
Left-G_temp_sup-Lateral	7057.0	3.3310000000000004	1483.0	0.145
Left-G_temp_sup-Plan_polar	2016.0	3.3810000000000002	495.0	0.11699999999999999
Left-G_temp_sup-Plan_tempo	2975.0	2.759	992.0	0.12
Left-G_temporal_inf	7584.0	2.755	2003.0	0.14300000000000002
Left-G_temporal_middle	6694.0	2.78	1774.0	0.13699999999999998
Left-Lat_Fis-ant-Horizont	496.0	2.511	217.0	0.098
Left-Lat_Fis-ant-Vertical	514.0	2.412	252.0	0.10099999999999999
Left-Lat_Fis-post	1594.0	2.397	850.0	0.11599999999999999
Left-Pole_occipital	2473.0	1.7469999999999999	1321.0	0.136
Left-Pole_temporal	6358.0	3.154	1459.0	0.142
Left-S_calcarine	3332.0	2.009	1907.0	0.11900000000000001
Left-S_central	4591.0	2.1069999999999998	2401.0	0.095
Left-S_cingul-Marginalis	1686.0	2.295	813.0	0.09
Left-S_circular_insula_ant	948.0	2.8160000000000003	394.0	0.098
Left-S_circular_insula_inf	2498.0	2.867	1005.0	0.08199999999999999
Left-S_circular_insula_sup	2615.0	2.801	1146.0	0.098
Left-S_collat_transv_ant	2173.0	2.5140000000000002	968.0	0.09300000000000001
Left-S_collat_transv_post	770.0	1.929	459.0	0.128
Left-S_front_inf	3646.0	2.276	1739.0	0.114
Left-S_front_middle	2428.0	2.13	1287.0	0.10099999999999999
Left-S_front_sup	5094.0	2.467	2118.0	0.092
Left-S_interm_prim-Jensen	617.0	2.4819999999999998	334.0	0.11699999999999999
Left-S_intrapariet&P_trans	3984.0	2.2119999999999997	2029.0	0.109
Left-S_oc_middle&Lunatus	2116.0	2.254	1024.0	0.132
Left-S_oc_sup&transversal	1536.0	2.2680000000000002	783.0	0.113
Left-S_occipital_ant	1109.0	2.39	574.0	0.129
Left-S_oc-temp_lat	1637.0	2.36	755.0	0.113
Left-S_oc-temp_med&Lingual	3181.0	2.425	1447.0	0.111
Left-S_orbital_lateral	885.0	2.214	432.0	0.126
Left-S_orbital_med-olfact	977.0	2.278	501.0	0.10800000000000001
Left-S_orbital-H_Shaped	2622.0	2.5869999999999997	1051.0	0.13
Left-S_parieto_occipital	3210.0	2.271	1530.0	0.12
Left-S_pericallosal	1469.0	2.121	730.0	0.129
Left-S_postcentral	3975.0	2.258	1953.0	0.10099999999999999
Left-S_precentral-inf-part	2344.0	2.513	1034.0	0.096
Left-S_precentral-sup-part	2782.0	2.465	1264.0	0.09699999999999999
Left-S_suborbital	1340.0	2.481	596.0	0.122
Left-S_subparietal	2000.0	2.3680000000000003	924.0	0.122
Left-S_temporal_inf	2688.0	2.456	1308.0	0.12300000000000001
Left-S_temporal_sup	8241.0	2.5069999999999997	3569.0	0.10400000000000001
Left-S_temporal_transverse	522.0	2.16	292.0	0.131
BrainSegVolNotVent	1207592.0	1207592.0	90771.4	1207592.0
eTIV	1573892.518748	1573892.518748	1207592.0	1573892.518748
