name	volume	thickness	area	meancurv
Left-G&S_frontomargin	2524.0	2.517	921.0	0.145
Left-G&S_occipital_inf	3072.0	2.472	1109.0	0.135
Left-G&S_paracentral	3066.0	2.56	957.0	0.11
Left-G&S_subcentral	3709.0	2.883	1011.0	0.131
Left-G&S_transv_frontopol	1993.0	2.88	511.0	0.166
Left-G&S_cingul-Ant	4535.0	3.0639999999999996	1357.0	0.11599999999999999
Left-G&S_cingul-Mid-Ant	1975.0	2.75	688.0	0.11
Left-G&S_cingul-Mid-Post	1928.0	2.4859999999999998	745.0	0.13
Left-G_cingul-Post-dorsal	1526.0	2.972	371.0	0.147
Left-G_cingul-Post-ventral	686.0	3.077	188.0	0.129
Left-G_cuneus	3564.0	2.199	1368.0	0.153
Left-G_front_inf-Opercular	4132.0	3.116	999.0	0.11900000000000001
Left-G_front_inf-Orbital	1572.0	3.0989999999999998	354.0	0.147
Left-G_front_inf-Triangul	2927.0	2.863	741.0	0.15
Left-G_front_middle	9688.0	2.738	2645.0	0.135
Left-G_front_sup	19221.0	3.125	4698.0	0.128
Left-G_Ins_lg&S_cent_ins	1807.0	3.1239999999999997	509.0	0.138
Left-G_insular_short	2539.0	3.7430000000000003	463.0	0.099
Left-G_occipital_middle	5160.0	2.782	1372.0	0.13699999999999998
Left-G_occipital_sup	2785.0	2.323	1079.0	0.129
Left-G_oc-temp_lat-fusifor	4493.0	2.7689999999999997	1232.0	0.13
Left-G_oc-temp_med-Lingual	6549.0	2.334	2292.0	0.16
Left-G_oc-temp_med-Parahip	4679.0	3.0069999999999997	1118.0	0.131
Left-G_orbital	6683.0	2.8360000000000003	1665.0	0.145
Left-G_pariet_inf-Angular	6398.0	2.9139999999999997	1599.0	0.13699999999999998
Left-G_pariet_inf-Supramar	7562.0	3.095	1892.0	0.146
Left-G_parietal_sup	7114.0	2.627	2027.0	0.122
Left-G_postcentral	4711.0	2.455	1472.0	0.125
Left-G_precentral	6366.0	3.145	1483.0	0.102
Left-G_precuneus	6940.0	2.678	1963.0	0.139
Left-G_rectus	2251.0	2.553	618.0	0.14300000000000002
Left-G_subcallosal	926.0	1.994	381.0	0.096
Left-G_temp_sup-G_T_transv	1403.0	3.055	327.0	0.11699999999999999
Left-G_temp_sup-Lateral	5892.0	3.478	1148.0	0.135
Left-G_temp_sup-Plan_polar	1911.0	3.6189999999999998	424.0	0.083
Left-G_temp_sup-Plan_tempo	2307.0	2.819	708.0	0.076
Left-G_temporal_inf	7410.0	2.9419999999999997	1778.0	0.139
Left-G_temporal_middle	7248.0	3.076	1584.0	0.13699999999999998
Left-Lat_Fis-ant-Horizont	587.0	2.255	276.0	0.09300000000000001
Left-Lat_Fis-ant-Vertical	338.0	2.345	160.0	0.1
Left-Lat_Fis-post	1626.0	2.6860000000000004	762.0	0.107
Left-Pole_occipital	3468.0	2.115	1396.0	0.13
Left-Pole_temporal	5568.0	3.097	1124.0	0.155
Left-S_calcarine	3252.0	2.313	1694.0	0.134
Left-S_central	4109.0	2.2230000000000003	2097.0	0.10099999999999999
Left-S_cingul-Marginalis	1210.0	2.193	600.0	0.09300000000000001
Left-S_circular_insula_ant	1032.0	2.929	414.0	0.09699999999999999
Left-S_circular_insula_inf	2409.0	2.984	961.0	0.08800000000000001
Left-S_circular_insula_sup	2639.0	2.6310000000000002	1206.0	0.091
Left-S_collat_transv_ant	2318.0	2.509	1017.0	0.087
Left-S_collat_transv_post	490.0	2.245	258.0	0.127
Left-S_front_inf	3539.0	2.211	1602.0	0.10800000000000001
Left-S_front_middle	2471.0	2.278	1097.0	0.121
Left-S_front_sup	4406.0	2.412	1883.0	0.11199999999999999
Left-S_interm_prim-Jensen	541.0	2.5810000000000004	255.0	0.106
Left-S_intrapariet&P_trans	4856.0	2.239	2373.0	0.098
Left-S_oc_middle&Lunatus	1580.0	2.287	823.0	0.11
Left-S_oc_sup&transversal	2077.0	2.3080000000000003	989.0	0.11900000000000001
Left-S_occipital_ant	905.0	2.474	372.0	0.09
Left-S_oc-temp_lat	1263.0	2.622	521.0	0.106
Left-S_oc-temp_med&Lingual	3319.0	2.61	1327.0	0.113
Left-S_orbital_lateral	795.0	1.871	430.0	0.121
Left-S_orbital_med-olfact	953.0	2.455	450.0	0.11599999999999999
Left-S_orbital-H_Shaped	2759.0	2.6639999999999997	1001.0	0.126
Left-S_parieto_occipital	2554.0	2.6	1087.0	0.11
Left-S_pericallosal	1009.0	2.421	591.0	0.11800000000000001
Left-S_postcentral	4582.0	2.436	1980.0	0.10800000000000001
Left-S_precentral-inf-part	2397.0	2.647	1032.0	0.087
Left-S_precentral-sup-part	2182.0	2.405	985.0	0.084
Left-S_suborbital	1213.0	2.565	536.0	0.099
Left-S_subparietal	2026.0	2.347	950.0	0.12
Left-S_temporal_inf	2409.0	2.6010000000000004	1180.0	0.111
Left-S_temporal_sup	8645.0	2.685	3334.0	0.099
Left-S_temporal_transverse	571.0	2.487	296.0	0.107
BrainSegVolNotVent	1105382.0	1105382.0	82853.2	1105382.0
eTIV	1243040.5666	1243040.5666	1105382.0	1243040.5666
