name	volume	thickness	area	meancurv
Left-G&S_frontomargin	2360.0	2.246	869.0	0.158
Left-G&S_occipital_inf	2661.0	2.318	1056.0	0.146
Left-G&S_paracentral	2714.0	2.289	973.0	0.11800000000000001
Left-G&S_subcentral	3392.0	2.412	1247.0	0.124
Left-G&S_transv_frontopol	1760.0	2.524	549.0	0.17
Left-G&S_cingul-Ant	4476.0	2.668	1559.0	0.126
Left-G&S_cingul-Mid-Ant	2606.0	2.668	947.0	0.12
Left-G&S_cingul-Mid-Post	2854.0	2.574	1053.0	0.133
Left-G_cingul-Post-dorsal	1425.0	3.2039999999999997	354.0	0.157
Left-G_cingul-Post-ventral	562.0	2.9010000000000002	151.0	0.14400000000000002
Left-G_cuneus	2408.0	1.8330000000000002	1200.0	0.17
Left-G_front_inf-Opercular	3630.0	2.718	1054.0	0.132
Left-G_front_inf-Orbital	1111.0	2.483	320.0	0.179
Left-G_front_inf-Triangul	2022.0	2.312	690.0	0.13699999999999998
Left-G_front_middle	10087.0	2.478	3171.0	0.145
Left-G_front_sup	15983.0	2.678	4865.0	0.138
Left-G_Ins_lg&S_cent_ins	1737.0	3.2889999999999997	492.0	0.142
Left-G_insular_short	2798.0	3.338	576.0	0.139
Left-G_occipital_middle	4514.0	2.478	1429.0	0.155
Left-G_occipital_sup	2017.0	2.281	747.0	0.125
Left-G_oc-temp_lat-fusifor	4086.0	2.867	1107.0	0.11900000000000001
Left-G_oc-temp_med-Lingual	3910.0	2.053	1625.0	0.151
Left-G_oc-temp_med-Parahip	2791.0	2.8160000000000003	731.0	0.091
Left-G_orbital	6630.0	2.747	1735.0	0.157
Left-G_pariet_inf-Angular	6724.0	2.676	2007.0	0.14
Left-G_pariet_inf-Supramar	6461.0	2.64	1967.0	0.138
Left-G_parietal_sup	4945.0	2.247	1817.0	0.136
Left-G_postcentral	3939.0	2.211	1460.0	0.124
Left-G_precentral	5957.0	2.657	1740.0	0.11599999999999999
Left-G_precuneus	6176.0	2.539	1920.0	0.14300000000000002
Left-G_rectus	2800.0	2.8280000000000003	726.0	0.14300000000000002
Left-G_subcallosal	1645.0	2.695	609.0	0.105
Left-G_temp_sup-G_T_transv	1157.0	2.5069999999999997	380.0	0.121
Left-G_temp_sup-Lateral	5380.0	2.7910000000000004	1423.0	0.14300000000000002
Left-G_temp_sup-Plan_polar	2047.0	3.4219999999999997	493.0	0.071
Left-G_temp_sup-Plan_tempo	1672.0	2.48	579.0	0.094
Left-G_temporal_inf	6147.0	2.714	1688.0	0.147
Left-G_temporal_middle	8336.0	2.9610000000000003	2047.0	0.154
Left-Lat_Fis-ant-Horizont	519.0	2.3280000000000003	232.0	0.11599999999999999
Left-Lat_Fis-ant-Vertical	303.0	2.03	155.0	0.096
Left-Lat_Fis-post	1451.0	2.335	754.0	0.11900000000000001
Left-Pole_occipital	2960.0	2.1	1252.0	0.149
Left-Pole_temporal	5442.0	3.4530000000000003	1050.0	0.154
Left-S_calcarine	2306.0	2.019	1320.0	0.126
Left-S_central	3739.0	1.943	2129.0	0.098
Left-S_cingul-Marginalis	1601.0	2.231	807.0	0.099
Left-S_circular_insula_ant	934.0	2.7260000000000004	385.0	0.087
Left-S_circular_insula_inf	2054.0	2.678	906.0	0.092
Left-S_circular_insula_sup	2314.0	2.484	1161.0	0.109
Left-S_collat_transv_ant	1653.0	3.005	600.0	0.126
Left-S_collat_transv_post	453.0	1.996	265.0	0.12
Left-S_front_inf	3279.0	2.175	1609.0	0.11800000000000001
Left-S_front_middle	2378.0	2.202	1230.0	0.129
Left-S_front_sup	5151.0	2.295	2223.0	0.111
Left-S_interm_prim-Jensen	739.0	2.492	340.0	0.121
Left-S_intrapariet&P_trans	3935.0	2.101	2066.0	0.11199999999999999
Left-S_oc_middle&Lunatus	1245.0	2.0780000000000003	701.0	0.14800000000000002
Left-S_oc_sup&transversal	1721.0	2.311	835.0	0.109
Left-S_occipital_ant	1636.0	2.253	746.0	0.12
Left-S_oc-temp_lat	1799.0	2.6510000000000002	664.0	0.11699999999999999
Left-S_oc-temp_med&Lingual	2915.0	2.338	1459.0	0.11199999999999999
Left-S_orbital_lateral	594.0	1.925	343.0	0.128
Left-S_orbital_med-olfact	1026.0	2.45	492.0	0.107
Left-S_orbital-H_Shaped	2366.0	2.294	952.0	0.132
Left-S_parieto_occipital	2982.0	2.358	1450.0	0.12300000000000001
Left-S_pericallosal	1773.0	2.102	1070.0	0.11900000000000001
Left-S_postcentral	3804.0	2.079	1976.0	0.107
Left-S_precentral-inf-part	2632.0	2.365	1217.0	0.10099999999999999
Left-S_precentral-sup-part	1968.0	2.24	1010.0	0.099
Left-S_suborbital	692.0	2.49	332.0	0.10099999999999999
Left-S_subparietal	1564.0	2.6210000000000004	698.0	0.133
Left-S_temporal_inf	2977.0	2.478	1318.0	0.122
Left-S_temporal_sup	12020.0	2.381	5226.0	0.106
Left-S_temporal_transverse	575.0	2.385	298.0	0.132
BrainSegVolNotVent	1072697.0	1072697.0	86626.5	1072697.0
eTIV	1274150.700682	1274150.700682	1072697.0	1274150.700682
