name	volume	thickness	area	meancurv
Left-G&S_frontomargin	2202.0	2.3930000000000002	851.0	0.145
Left-G&S_occipital_inf	3345.0	2.364	1267.0	0.13699999999999998
Left-G&S_paracentral	3355.0	2.589	1060.0	0.11599999999999999
Left-G&S_subcentral	2958.0	2.752	928.0	0.132
Left-G&S_transv_frontopol	1574.0	2.545	454.0	0.179
Left-G&S_cingul-Ant	4310.0	2.784	1469.0	0.132
Left-G&S_cingul-Mid-Ant	2000.0	2.642	723.0	0.127
Left-G&S_cingul-Mid-Post	2288.0	2.613	873.0	0.11599999999999999
Left-G_cingul-Post-dorsal	1367.0	2.987	354.0	0.146
Left-G_cingul-Post-ventral	776.0	3.1319999999999997	196.0	0.126
Left-G_cuneus	3400.0	2.004	1506.0	0.15
Left-G_front_inf-Opercular	2802.0	2.713	796.0	0.121
Left-G_front_inf-Orbital	1277.0	2.7230000000000003	310.0	0.13
Left-G_front_inf-Triangul	2644.0	2.5269999999999997	752.0	0.14
Left-G_front_middle	11291.0	2.529	3433.0	0.14
Left-G_front_sup	16289.0	2.8810000000000002	4450.0	0.127
Left-G_Ins_lg&S_cent_ins	1359.0	3.383	370.0	0.135
Left-G_insular_short	2278.0	3.7239999999999998	443.0	0.14400000000000002
Left-G_occipital_middle	5597.0	2.47	1765.0	0.138
Left-G_occipital_sup	2675.0	2.231	1074.0	0.147
Left-G_oc-temp_lat-fusifor	3721.0	2.7769999999999997	1012.0	0.152
Left-G_oc-temp_med-Lingual	4326.0	2.051	1801.0	0.145
Left-G_oc-temp_med-Parahip	4317.0	3.225	997.0	0.11599999999999999
Left-G_orbital	5556.0	2.6639999999999997	1570.0	0.142
Left-G_pariet_inf-Angular	6760.0	2.6839999999999997	1959.0	0.138
Left-G_pariet_inf-Supramar	5617.0	2.734	1683.0	0.145
Left-G_parietal_sup	6345.0	2.4330000000000003	2047.0	0.14
Left-G_postcentral	3504.0	2.0909999999999997	1349.0	0.106
Left-G_precentral	5320.0	2.844	1435.0	0.10300000000000001
Left-G_precuneus	5978.0	2.625	1737.0	0.142
Left-G_rectus	2647.0	2.716	696.0	0.135
Left-G_subcallosal	824.0	2.434	308.0	0.077
Left-G_temp_sup-G_T_transv	1231.0	2.873	311.0	0.122
Left-G_temp_sup-Lateral	5349.0	3.048	1219.0	0.146
Left-G_temp_sup-Plan_polar	1613.0	3.406	409.0	0.075
Left-G_temp_sup-Plan_tempo	1600.0	2.468	575.0	0.079
Left-G_temporal_inf	7128.0	3.072	1651.0	0.138
Left-G_temporal_middle	6677.0	2.839	1692.0	0.136
Left-Lat_Fis-ant-Horizont	560.0	2.372	245.0	0.094
Left-Lat_Fis-ant-Vertical	780.0	2.653	366.0	0.113
Left-Lat_Fis-post	1276.0	2.4290000000000003	636.0	0.11
Left-Pole_occipital	3148.0	2.005	1417.0	0.139
Left-Pole_temporal	5173.0	3.187	1094.0	0.149
Left-S_calcarine	2668.0	1.9709999999999999	1521.0	0.11599999999999999
Left-S_central	3525.0	2.065	1893.0	0.08900000000000001
Left-S_cingul-Marginalis	1593.0	2.201	744.0	0.092
Left-S_circular_insula_ant	950.0	2.76	360.0	0.09300000000000001
Left-S_circular_insula_inf	2339.0	2.7689999999999997	975.0	0.087
Left-S_circular_insula_sup	2375.0	2.498	1123.0	0.10400000000000001
Left-S_collat_transv_ant	1958.0	2.4819999999999998	895.0	0.095
Left-S_collat_transv_post	806.0	2.136	420.0	0.139
Left-S_front_inf	2871.0	2.052	1382.0	0.122
Left-S_front_middle	2127.0	2.0380000000000003	1078.0	0.11800000000000001
Left-S_front_sup	4345.0	2.374	1909.0	0.102
Left-S_interm_prim-Jensen	268.0	2.355	129.0	0.106
Left-S_intrapariet&P_trans	4604.0	2.133	2359.0	0.11199999999999999
Left-S_oc_middle&Lunatus	1918.0	2.0669999999999997	1064.0	0.10400000000000001
Left-S_oc_sup&transversal	1973.0	2.2640000000000002	977.0	0.11199999999999999
Left-S_occipital_ant	730.0	1.99	417.0	0.114
Left-S_oc-temp_lat	2025.0	2.386	872.0	0.127
Left-S_oc-temp_med&Lingual	2890.0	2.596	1240.0	0.134
Left-S_orbital_lateral	550.0	1.9340000000000002	308.0	0.106
Left-S_orbital_med-olfact	897.0	2.39	424.0	0.11900000000000001
Left-S_orbital-H_Shaped	2323.0	2.207	981.0	0.115
Left-S_parieto_occipital	3009.0	2.353	1399.0	0.10800000000000001
Left-S_pericallosal	1416.0	2.716	714.0	0.11199999999999999
Left-S_postcentral	3650.0	2.004	1900.0	0.09699999999999999
Left-S_precentral-inf-part	1920.0	2.198	975.0	0.084
Left-S_precentral-sup-part	1416.0	2.316	678.0	0.08800000000000001
Left-S_suborbital	1009.0	2.867	392.0	0.111
Left-S_subparietal	1667.0	2.354	797.0	0.107
Left-S_temporal_inf	2436.0	2.312	1121.0	0.102
Left-S_temporal_sup	12701.0	2.469	5136.0	0.1
Left-S_temporal_transverse	505.0	2.418	242.0	0.115
BrainSegVolNotVent	1084384.0	1084384.0	83706.1	1084384.0
eTIV	1267159.9262040001	1267159.9262040001	1084384.0	1267159.9262040001
