name	volume	thickness	area	meancurv
Left-G&S_frontomargin	2245.0	2.3040000000000003	868.0	0.141
Left-G&S_occipital_inf	3282.0	2.4019999999999997	1239.0	0.135
Left-G&S_paracentral	2837.0	2.34	1006.0	0.106
Left-G&S_subcentral	2623.0	2.719	858.0	0.142
Left-G&S_transv_frontopol	1685.0	2.784	456.0	0.172
Left-G&S_cingul-Ant	4320.0	2.6289999999999996	1449.0	0.11900000000000001
Left-G&S_cingul-Mid-Ant	2509.0	2.676	883.0	0.11599999999999999
Left-G&S_cingul-Mid-Post	2121.0	2.66	777.0	0.11800000000000001
Left-G_cingul-Post-dorsal	1313.0	2.8989999999999996	381.0	0.153
Left-G_cingul-Post-ventral	677.0	2.637	214.0	0.11699999999999999
Left-G_cuneus	2887.0	1.975	1261.0	0.127
Left-G_front_inf-Opercular	3397.0	2.714	929.0	0.132
Left-G_front_inf-Orbital	1648.0	3.202	380.0	0.16399999999999998
Left-G_front_inf-Triangul	3370.0	2.679	966.0	0.141
Left-G_front_middle	9001.0	2.5639999999999996	2636.0	0.15
Left-G_front_sup	16730.0	2.8289999999999997	4846.0	0.13
Left-G_Ins_lg&S_cent_ins	1378.0	2.93	419.0	0.14400000000000002
Left-G_insular_short	2430.0	3.7310000000000003	472.0	0.115
Left-G_occipital_middle	5564.0	2.656	1586.0	0.139
Left-G_occipital_sup	2246.0	2.349	768.0	0.12300000000000001
Left-G_oc-temp_lat-fusifor	4678.0	3.003	1222.0	0.138
Left-G_oc-temp_med-Lingual	5225.0	2.1390000000000002	2025.0	0.145
Left-G_oc-temp_med-Parahip	3110.0	2.947	770.0	0.094
Left-G_orbital	5926.0	2.5610000000000004	1701.0	0.141
Left-G_pariet_inf-Angular	5992.0	2.734	1651.0	0.126
Left-G_pariet_inf-Supramar	6306.0	2.884	1758.0	0.142
Left-G_parietal_sup	5511.0	2.2230000000000003	2085.0	0.12
Left-G_postcentral	3099.0	2.115	1182.0	0.115
Left-G_precentral	5132.0	2.783	1388.0	0.11199999999999999
Left-G_precuneus	4968.0	2.5660000000000003	1512.0	0.13699999999999998
Left-G_rectus	2244.0	2.5669999999999997	643.0	0.122
Left-G_subcallosal	1119.0	2.501	433.0	0.111
Left-G_temp_sup-G_T_transv	936.0	2.5980000000000003	272.0	0.124
Left-G_temp_sup-Lateral	5462.0	3.1510000000000002	1239.0	0.138
Left-G_temp_sup-Plan_polar	1614.0	3.227	436.0	0.091
Left-G_temp_sup-Plan_tempo	2077.0	2.676	735.0	0.073
Left-G_temporal_inf	5577.0	2.823	1503.0	0.139
Left-G_temporal_middle	7228.0	3.093	1695.0	0.136
Left-Lat_Fis-ant-Horizont	428.0	2.1959999999999997	212.0	0.105
Left-Lat_Fis-ant-Vertical	725.0	2.307	342.0	0.106
Left-Lat_Fis-post	1544.0	2.548	754.0	0.10800000000000001
Left-Pole_occipital	2655.0	1.744	1394.0	0.129
Left-Pole_temporal	4317.0	3.167	958.0	0.136
Left-S_calcarine	3015.0	2.101	1664.0	0.10800000000000001
Left-S_central	3169.0	1.9969999999999999	1793.0	0.102
Left-S_cingul-Marginalis	1576.0	2.294	747.0	0.1
Left-S_circular_insula_ant	905.0	2.826	378.0	0.095
Left-S_circular_insula_inf	2608.0	2.906	1030.0	0.09300000000000001
Left-S_circular_insula_sup	2530.0	2.6060000000000003	1211.0	0.10300000000000001
Left-S_collat_transv_ant	1159.0	2.719	494.0	0.122
Left-S_collat_transv_post	688.0	2.2840000000000003	327.0	0.16
Left-S_front_inf	3693.0	2.247	1690.0	0.11
Left-S_front_middle	2257.0	2.093	1113.0	0.12
Left-S_front_sup	4242.0	2.403	1806.0	0.109
Left-S_interm_prim-Jensen	273.0	2.8089999999999997	104.0	0.146
Left-S_intrapariet&P_trans	3729.0	2.278	1767.0	0.113
Left-S_oc_middle&Lunatus	1421.0	2.064	813.0	0.11
Left-S_oc_sup&transversal	1602.0	2.237	811.0	0.1
Left-S_occipital_ant	1305.0	2.42	577.0	0.109
Left-S_oc-temp_lat	1678.0	2.825	592.0	0.10099999999999999
Left-S_oc-temp_med&Lingual	3185.0	2.448	1462.0	0.10800000000000001
Left-S_orbital_lateral	648.0	2.282	314.0	0.11699999999999999
Left-S_orbital_med-olfact	875.0	2.17	441.0	0.125
Left-S_orbital-H_Shaped	2726.0	2.306	1111.0	0.124
Left-S_parieto_occipital	2805.0	2.221	1375.0	0.11
Left-S_pericallosal	1099.0	2.379	646.0	0.124
Left-S_postcentral	2413.0	2.119	1272.0	0.09300000000000001
Left-S_precentral-inf-part	2113.0	2.432	926.0	0.095
Left-S_precentral-sup-part	2025.0	2.353	927.0	0.1
Left-S_suborbital	836.0	2.125	450.0	0.107
Left-S_subparietal	1214.0	2.388	551.0	0.105
Left-S_temporal_inf	2689.0	2.396	1272.0	0.106
Left-S_temporal_sup	9160.0	2.524	3806.0	0.102
Left-S_temporal_transverse	577.0	2.495	288.0	0.113
BrainSegVolNotVent	1038528.0	1038528.0	80058.7	1038528.0
eTIV	1181004.283169	1181004.283169	1038528.0	1181004.283169
