name	volume	thickness	area	meancurv
Left-bankssts	2707.0	2.5469999999999997	1038.0	0.095
Left-caudalanteriorcingulate	1793.0	2.8810000000000002	598.0	0.121
Left-caudalmiddlefrontal	6231.0	2.737	2092.0	0.11
Left-cuneus	4643.0	2.347	1629.0	0.14800000000000002
Left-entorhinal	2496.0	3.31	570.0	0.14
Left-fusiform	10567.0	2.878	3117.0	0.131
Left-inferiorparietal	14447.0	2.556	5024.0	0.12
Left-inferiortemporal	12661.0	2.9360000000000004	3600.0	0.125
Left-isthmuscingulate	2885.0	2.226	1165.0	0.11900000000000001
Left-lateraloccipital	13194.0	2.42	4914.0	0.13
Left-lateralorbitofrontal	8789.0	2.6630000000000003	2860.0	0.131
Left-lingual	8263.0	2.439	3015.0	0.134
Left-medialorbitofrontal	6008.0	2.608	2098.0	0.136
Left-middletemporal	12552.0	2.905	3468.0	0.113
Left-parahippocampal	2236.0	2.983	677.0	0.099
Left-paracentral	4507.0	2.7460000000000004	1421.0	0.09300000000000001
Left-parsopercularis	4995.0	2.952	1467.0	0.11
Left-parsorbitalis	3534.0	2.75	948.0	0.13
Left-parstriangularis	4884.0	2.682	1553.0	0.132
Left-pericalcarine	2261.0	1.9269999999999998	1320.0	0.126
Left-postcentral	10782.0	2.351	4039.0	0.11900000000000001
Left-posteriorcingulate	3636.0	2.585	1284.0	0.13
Left-precentral	15954.0	2.8819999999999997	4899.0	0.105
Left-precuneus	11538.0	2.639	4110.0	0.126
Left-rostralanteriorcingulate	2954.0	2.978	916.0	0.14
Left-rostralmiddlefrontal	17676.0	2.487	6052.0	0.131
Left-superiorfrontal	25772.0	3.005	7531.0	0.124
Left-superiorparietal	15746.0	2.479	5700.0	0.11900000000000001
Left-superiortemporal	15202.0	3.0039999999999996	4303.0	0.09699999999999999
Left-supramarginal	11372.0	2.6439999999999997	3884.0	0.11800000000000001
Left-frontalpole	1356.0	2.742	359.0	0.16
Left-temporalpole	2663.0	3.739	489.0	0.13699999999999998
Left-transversetemporal	1254.0	2.708	429.0	0.124
Left-insula	7636.0	3.2089999999999996	2351.0	0.121
BrainSegVolNotVent	1263702.0	1263702.0	88752.2	1263702.0
eTIV	1447858.351082	1447858.351082	1263702.0	1447858.351082
