name	volume	thickness	area	meancurv
Left-bankssts	2894.0	2.434	1285.0	0.11
Left-caudalanteriorcingulate	2078.0	2.334	812.0	0.111
Left-caudalmiddlefrontal	4898.0	2.363	1968.0	0.10400000000000001
Left-cuneus	3648.0	1.973	1733.0	0.146
Left-entorhinal	2430.0	3.4	493.0	0.109
Left-fusiform	9025.0	2.733	2953.0	0.136
Left-inferiorparietal	13689.0	2.342	5289.0	0.121
Left-inferiortemporal	11390.0	2.602	3790.0	0.128
Left-isthmuscingulate	2874.0	2.384	1127.0	0.126
Left-lateraloccipital	11423.0	2.176	4930.0	0.134
Left-lateralorbitofrontal	7876.0	2.543	2828.0	0.12300000000000001
Left-lingual	6869.0	2.0069999999999997	3179.0	0.132
Left-medialorbitofrontal	5258.0	2.471	1924.0	0.11800000000000001
Left-middletemporal	13198.0	2.6830000000000003	4003.0	0.127
Left-parahippocampal	1961.0	3.062	542.0	0.102
Left-paracentral	3387.0	2.35	1317.0	0.111
Left-parsopercularis	4047.0	2.39	1491.0	0.10300000000000001
Left-parsorbitalis	2205.0	2.46	678.0	0.149
Left-parstriangularis	3754.0	2.392	1395.0	0.128
Left-pericalcarine	2456.0	1.8	1564.0	0.11800000000000001
Left-postcentral	9214.0	2.127	3807.0	0.11800000000000001
Left-posteriorcingulate	2933.0	2.381	1168.0	0.141
Left-precentral	12546.0	2.491	4559.0	0.107
Left-precuneus	9966.0	2.387	3884.0	0.125
Left-rostralanteriorcingulate	2650.0	2.6830000000000003	909.0	0.138
Left-rostralmiddlefrontal	14979.0	2.2359999999999998	5769.0	0.14
Left-superiorfrontal	18536.0	2.464	6499.0	0.129
Left-superiorparietal	11144.0	2.1430000000000002	4746.0	0.127
Left-superiortemporal	12393.0	2.733	3920.0	0.106
Left-supramarginal	8332.0	2.484	3053.0	0.122
Left-frontalpole	913.0	2.7510000000000003	246.0	0.161
Left-temporalpole	2345.0	3.1189999999999998	512.0	0.136
Left-transversetemporal	1181.0	2.555	425.0	0.11199999999999999
Left-insula	7181.0	3.198	2189.0	0.124
BrainSegVolNotVent	1086311.0	1086311.0	84986.2	1086311.0
eTIV	1170114.002443	1170114.002443	1086311.0	1170114.002443
