name	volume	thickness	area	meancurv
Left-bankssts	2231.0	2.56	923.0	0.10099999999999999
Left-caudalanteriorcingulate	2156.0	2.681	693.0	0.14400000000000002
Left-caudalmiddlefrontal	6053.0	2.662	2086.0	0.106
Left-cuneus	4320.0	2.319	1742.0	0.147
Left-entorhinal	2465.0	3.593	492.0	0.126
Left-fusiform	10759.0	2.85	3294.0	0.133
Left-inferiorparietal	12948.0	2.676	4276.0	0.11
Left-inferiortemporal	12706.0	2.824	3707.0	0.124
Left-isthmuscingulate	2842.0	2.51	1042.0	0.12
Left-lateraloccipital	15930.0	2.533	5660.0	0.128
Left-lateralorbitofrontal	8355.0	2.655	2811.0	0.128
Left-lingual	9709.0	2.3680000000000003	3729.0	0.14400000000000002
Left-medialorbitofrontal	5751.0	2.713	1902.0	0.124
Left-middletemporal	12359.0	2.9539999999999997	3378.0	0.125
Left-parahippocampal	2332.0	3.188	617.0	0.11800000000000001
Left-paracentral	3922.0	2.532	1368.0	0.09699999999999999
Left-parsopercularis	6326.0	2.727	2012.0	0.11599999999999999
Left-parsorbitalis	2644.0	2.7510000000000003	718.0	0.13
Left-parstriangularis	4278.0	2.6910000000000003	1399.0	0.126
Left-pericalcarine	2453.0	1.807	1549.0	0.14400000000000002
Left-postcentral	10329.0	2.224	3968.0	0.121
Left-posteriorcingulate	3146.0	2.381	1175.0	0.134
Left-precentral	14203.0	2.674	4788.0	0.105
Left-precuneus	9965.0	2.533	3658.0	0.11699999999999999
Left-rostralanteriorcingulate	2731.0	2.625	862.0	0.141
Left-rostralmiddlefrontal	14696.0	2.372	5480.0	0.132
Left-superiorfrontal	21763.0	2.7969999999999997	6761.0	0.125
Left-superiorparietal	12069.0	2.436	4483.0	0.11699999999999999
Left-superiortemporal	14885.0	3.16	3922.0	0.115
Left-supramarginal	12293.0	2.801	3937.0	0.127
Left-frontalpole	834.0	2.521	262.0	0.183
Left-temporalpole	3063.0	3.679	554.0	0.147
Left-transversetemporal	1118.0	2.87	354.0	0.122
Left-insula	8054.0	3.123	2475.0	0.133
BrainSegVolNotVent	1159677.0	1159677.0	86061.8	1159677.0
eTIV	1261795.146594	1261795.146594	1159677.0	1261795.146594
